"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Code Style Rules","Correctness Rules","Design Rules","Design Pattern","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Security Code Guideline Rules","Security Rules","Vulnerability Rules"
"L17356","serialVersionUID","hudson.AbortException.serialVersionUID;J","L1793","L103","C:\Users\Alumno\Downloads\jenkins-jenkins-2.332.2\jenkins-jenkins-2.332.2\core\src\main\java\hudson\AbortException.java","48","5","48","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17451","saveable","hudson.BulkChange.saveable;Lhudson/model/Saveable;","L17449","L103","C:\Users\Alumno\Downloads\jenkins-jenkins-2.332.2\jenkins-jenkins-2.332.2\core\src\main\java\hudson\BulkChange.java","72","5","72","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17452","allocator","hudson.BulkChange.allocator;Ljava/lang/Exception;","L17449","L103","C:\Users\Alumno\Downloads\jenkins-jenkins-2.332.2\jenkins-jenkins-2.332.2\core\src\main\java\hudson\BulkChange.java","73","5","73","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17453","parent","hudson.BulkChange.parent;Lhudson/BulkChange;","L17449","L103","C:\Users\Alumno\Downloads\jenkins-jenkins-2.332.2\jenkins-jenkins-2.332.2\core\src\main\java\hudson\BulkChange.java","74","5","74","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17456","completed","hudson.BulkChange.completed;Z","L17449","L103","C:\Users\Alumno\Downloads\jenkins-jenkins-2.332.2\jenkins-jenkins-2.332.2\core\src\main\java\hudson\BulkChange.java","76","5","76","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17464","INSCOPE","hudson.BulkChange.INSCOPE;Ljava/lang/ThreadLocal;","L17449","L103","C:\Users\Alumno\Downloads\jenkins-jenkins-2.332.2\jenkins-jenkins-2.332.2\core\src\main\java\hudson\BulkChange.java","135","5","135","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17484","ALL","hudson.BulkChange.ALL;Lhudson/model/Saveable;","L17449","L103","C:\Users\Alumno\Downloads\jenkins-jenkins-2.332.2\jenkins-jenkins-2.332.2\core\src\main\java\hudson\BulkChange.java","163","5","164","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17492","LOGGER","hudson.ClassicPluginStrategy.LOGGER;Ljava/util/logging/Logger;","L17488","L103","C:\Users\Alumno\Downloads\jenkins-jenkins-2.332.2\jenkins-jenkins-2.332.2\core\src\main\java\hudson\ClassicPluginStrategy.java","81","5","81","98","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17495","JAR_FILTER","hudson.ClassicPluginStrategy.JAR_FILTER;Ljava/io/FilenameFilter;","L17488","L103","C:\Users\Alumno\Downloads\jenkins-jenkins-2.332.2\jenkins-jenkins-2.332.2\core\src\main\java\hudson\ClassicPluginStrategy.java","86","5","86","91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17503","pluginManager","hudson.ClassicPluginStrategy.pluginManager;Lhudson/PluginManager;","L17488","L103","C:\Users\Alumno\Downloads\jenkins-jenkins-2.332.2\jenkins-jenkins-2.332.2\core\src\main\java\hudson\ClassicPluginStrategy.java","88","5","88","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
